"session","created","modified","ended","expired","id_genero","id_genero_otra","or_sexual","or_sexual_otra","sex_asignado","inter_sex","inst_01","inst_02","inst_03","interp_01a","interp_01b","interp_02a","interp_02b","interp_03a","interp_03b","interp_04","interp_05a","interp_05b","interp_06a","interp_06b","interp_07","tem_1","tem_2","tem_3","tem_4","hetcis_1","hetcis_2","hetcis_3","hetcis_4","hetcis_5"
"XO7-i4Z5i-oyuoAz-2xh083Up57hBWsYCQO4e5biiHZAHVxPYFhx3vFgD81TutxK","2022-11-09 20:08:16","2022-11-09 20:09:58","2022-11-09 20:09:59","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","2","2","1","1","1"
"_JkNw6BMiTiuW6CgkHJBCH2-giKwo1gKB-i6HvpzXnU9_GYY5QgHZEljFh_eivtR","2022-11-09 21:06:00","2022-11-09 21:10:20","2022-11-09 21:10:20","","3","","4","","1","2","1","3","3","3","1","3","1","5","1","1","3","1","2","1","1","2","2","2","1","","","","",""
"BISLT9aGtVKaui-xW3z22y81x0N4aTO-Kyp1suDU1S6DoDEa6unu_ABgfb3abmNU","2022-11-09 21:16:32","2022-11-09 21:18:33","2022-11-09 21:18:34","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","2","3","1","1","1"
"B4uyhDmYYP2zqQkAdOjj_6mWpt4WoskldYmW2EEqjZb6sX4FjUttqs1pGppVapWt","2022-11-09 21:56:32","2022-11-09 22:00:40","2022-11-09 22:00:40","","1","","3","","2","2","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"lMH1F6vQhemtz40-6pW8kwchYx90kHnVw4LzinhKLbpUs9B1vRnSXmwA6q_PnKIw","2022-11-09 21:59:22","2022-11-09 22:02:22","2022-11-09 22:02:22","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","5","4","3","3","1"
"sFNiBJMz2C18lqD6Bfe4TlV0hYrcIX4kTerea0yZ0W6YRI1cNbPjqOILlx8qat_f","2022-11-09 22:14:20","2022-11-09 22:16:52","2022-11-09 22:16:52","","1","","3","","2","2","6","4","1","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"PiX92aq5AxDVHMIgirQCiu3tmSMzfdmRl6cQW-A2JjJ4OhYFplo5W1HLt0cKOtTJ","2022-11-09 22:25:05","2022-11-09 22:25:55","2022-11-09 22:25:55","","1","","3","","2","2","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"6RkKh0MjAqRrvjzvCwa245NkAXylq_ORZ1v4ESBWSmrdoS_bMRhAir-ZnIKqGcQH","2022-11-09 23:16:12","2022-11-09 23:18:55","2022-11-09 23:18:55","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","2","2","2","1","1"
"CcBJkU4CCxuHd7ZrOIcmCuXU6LuN-KXpIahnxsazBp2lKEj72jkGS7-FL_qVbzBQ","2022-11-09 23:31:01","2022-11-09 23:32:11","2022-11-09 23:32:11","","1","","3","","2","2","2","4","2","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"MkQJKMSZHu4U6G2ot-S_tmPzaxpz19Jyxt8nhx6xw4lZhsdKZt2SN-wMR-BFJ50e","2022-11-09 23:46:42","2022-11-09 23:47:14","2022-11-09 23:47:14","","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","","","","",""
"zVxHjCvIBgjiXNTJ7i4fw6ekfZL_PeBtEWaag3Jis9DTqSd8Q0Nxx9TeAxV7goKn","2022-11-10 00:02:46","2022-11-10 00:03:43","2022-11-10 00:03:44","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","1","1","1","1","1"
"jKUzskwDcPgrxnQlhtIrh4-FTy1YgPUQdUw7Lx_ZqrN9cWRVZJf8SHsTdgo6LJvI","2022-11-10 01:29:56","2022-11-10 01:30:33","2022-11-10 01:30:33","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","2","3","1","1","1"
"DTbCiX7lAjALbfZ8m6Kh7Uj-5HAmdmk9aO2KgTSzoktpUhClH3kSBeKOzh3kr4vK","2022-11-10 02:24:38","2022-11-10 02:27:57","2022-11-10 02:27:57","","1","","3","","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"FcgjJK01qDIc0jgZgze9DAZmdGO-glQoM27M7mPJ20wYvdm8FycS2NMITDv2kVo9","2022-11-10 04:55:54","2022-11-10 04:56:27","2022-11-10 04:56:27","","3","","6","","1","2","","","","","","","","","","","","","","","","","","","","1","1","1","1","1"
"9S0t-L7Hkwai8xxT49KdmG2FaGcJcbRCetZVxFVSFT2HYP3EYb8uFErK0m4sln6i","2022-11-10 10:31:46","2022-11-10 10:35:04","2022-11-10 10:35:05","","3","","5","","1","2","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","2","4","2","2","","","","",""
"nwiFbFok8Uz171cVzpZKQII529IUmPEQd69qMuUkgg7pDEf6i0HacsrkZnaBtfoI","2022-11-10 12:43:31","2022-11-10 12:44:20","2022-11-10 12:44:20","","1","","6","","2","2","","","","","","","","","","","","","","","","","","","","3","4","2","3","2"
