"session","created","modified","ended","expired","satisfaccion_vida","familia_1","familia_2","familia_3","familia_3b","familia_4","e_civil","edad","carrera","anho_curs","pos_pol","opcion_pleb","interes_const","nacionalidad_1","nacionalidad_2","residencia","educ_padre","educ_madre","feedback"
"QlNrolXSpenuhQFKZEqkh-g1AlhTTnnvZ50scguUYUgbx9sE0FbvAcovyhxYQvLy","2022-11-15 22:34:49","2022-11-15 22:36:14","2022-11-15 22:36:14","","8","3","2","2","","2","1","20","4","2021","1","1","4","Chile","Chilena","Providencia ","4","4",""
"lX7LciWuNAzOEMme_nFFRpfA9AOftxwBB8eZ8bsifku521tQOePZj34v-ye-6pCy","2022-11-15 22:44:00","2022-11-15 22:45:09","2022-11-15 22:45:09","","3","1","","2","","2","6","20","4","2020","0","1","2","Chile","Chilena","Providencia","4","5",""
"qHjmYWKB17EL3MVhmLgqFIatDS1Cbwzb2cd0hptGTgPy2-IzYOtvRqgkUX4UWjvt","2022-11-15 22:56:19","2022-11-15 22:58:13","2022-11-15 22:58:13","","6","5","2","2","","1","1","20","4","2020","3","1","2","Chile","Chilena ","Peñaflor ","3","3",""
"TBB-RVQk48vz8Kj4XHxC8jx2SHVIBiKRDxoz9dSmZhjs8V_tDlSnFmfn8U3XwQLW","2022-11-15 23:49:27","2022-11-15 23:54:30","2022-11-15 23:54:30","","8","2","2","2","","1","1","21","4","2020","2","1","4","Chile ","Chilena ","Las condes ","4","4","Hay algunos conceptos que no se entienden. En la parte de inmigración, por ejemplo, al nombrar gente de otros países o regiones. Al incluir regiones genera confusión. También en la parte de actividades de aprendizaje como clases particulares o talleres no se entiende bien a que refiere. Taller relacionado con la universidad? Con mi carrera? O algo totalmente distinto que este ligado a hobies. Lo demás se entiende perfectamente"
"yS0ANC9cM7-X9Zk4rVd4oKxeeBZo__TOAp50zte-vVPVzzknYHQ_AEmobJPfkE4i","2022-11-16 00:04:34","2022-11-16 00:06:49","2022-11-16 00:06:49","","5","4","2","2","","1","1","20","4","2020","3","1","4","Chile","Chilena","Melipilla","3","3",""
"k6DFYxJaI2GTuHnLGc6yx_vJ5FUVFg_DvhKuL9KYuXul92iL5KaFCKnCS9GlmTFc","2022-11-16 00:33:27","2022-11-16 00:38:17","2022-11-16 00:38:19","","5","2","2","2","","2","1","22","4","2021","0","3","1","Venezuela","Chilena y venezolana","Puente Alto","3","3","Las preguntas sobre la democracia y el proceso constituyente se enmarcan excesivamente en el paradigma liberal, no permitiendo capturar opiniones que exedan ese marco"
"rORBG_YfobjShngBbF6HELtu4CviJNaT-c3VTTCYHmQGZ-7KJZze5XtNhCJNpWF_","2022-11-16 02:31:15","2022-11-16 02:33:50","2022-11-16 02:33:50","","8","4","1","2","","2","1","23","4","2018","3","1","4","Chile","Chileno ","Ñuñoa ","3","3",""
"FPryQuH5eAFC6cdMMLT3m3snlQ48zWxCKQjsv-StMQ4cpMpHMAfzwQgRD7ASw-Ex","2022-11-16 02:58:25","2022-11-16 02:59:37","2022-11-16 02:59:37","","3","4","","2","","1","1","21","4","2020","3","1","1","Chile","Chileno ","La florida","4","4",""
"98Av_-Ldjg4Zpl2burE7u9Qg1O6r_2iB5JXrzgu3lRpbqN6qAoRZKN6aQpI591Ol","2022-11-16 03:06:52","2022-11-16 03:08:09","2022-11-16 03:08:09","","8","2","2","2","","2","2","33","1","2020","3","1","5","Chile","chilena","La Florida","1","1",""
"Qu5wrQ7EGPMs1ZO0Uqs2O1hXubhfsYSrrSMu0R0gMqjqXk6KvN_QOgsN0wvM9NWd","2022-11-16 03:58:26","2022-11-16 03:59:49","2022-11-16 03:59:49","","5","3","1","2","","2","1","23","1","2019","2","1","5","Chilena","Chilena","Santiago Centro","3","4",""
"vlFRiH9n3FMT7K-AtDF_I2lv2IHXmvEDVfRwBAGeHAiSDzvoZed851ekpkrYCBHJ","2022-11-16 11:11:16","2022-11-16 11:14:09","2022-11-16 11:14:09","","6","3","2","2","","1","1","25","4","2016","2","1","3","Chile","Chilena","La Granja","2","2","Me pareció una encuesta muy bien elaborada e interesante. Espero que tengan éxito en su aplicación."
"xeMwpPptOwjVfZjzgYVMjwAXZ3EVqU5815JZCZbDQAK7U1QnrEE99OE5MIzuR75R","2022-11-16 12:17:50","2022-11-16 12:19:29","2022-11-16 12:19:30","","5","3","2","2","","2","1","21","4","3","0","1","3","Chile","Chilena","Ñuñoa","5","5",""
"50JvRzQZU5ptbqJx5aHVWnKBOgTG3H0LAnTRuEZ5EfXtKhL0hVlxbRSfduphVkiQ","2022-11-16 12:29:40","2022-11-16 12:31:17","2022-11-16 12:31:17","","7","2","2","2","","2","6","25","1","2022","1","1","4","Chile","chilena","Temuco","2","2",""
"fmyrSACPeLlPs5zlG37wEdubB2alJRiippMK8StN7RsHKxjH_lBpnok7COePkFWj","2022-11-16 13:14:50","2022-11-16 13:17:08","2022-11-16 13:17:08","","8","4","2","2","","1","1","20","4","2020","2","1","3","Chile","Chilena","La Florida","3","5","considerar la arista de discapacidad, porque enfermedad que requiera cuidados no es el único factor a considerar "
"GWPDNs8-c7KWQ4WyvUHqlF9OquIMdZgKJzE_ENvc_QALIr-Oz5BhrvJ3dCM1LZe8","2022-11-16 17:33:28","2022-11-16 17:35:01","2022-11-16 17:35:01","","9","3","2","2","","1","1","24","3","2018","3","1","3","Chile","Chilena","Peñalolen","4","5",""
"2gbJVSsgrx6AUm6kpysQaqUTYhHyy-z30xrecQaYCVvrLMZDxcnXnNhRiEklJxML","2022-11-16 17:58:02","2022-11-16 17:59:27","2022-11-16 17:59:28","","3","3","1","2","","1","1","31","1","2021","5","1","4","Chile","Chilena","Puente Alto","2","1",""
"xsNbE6IuV9nQKXqbZYnZ1eFsjRsNOb4skoPRZf6rcukXEB-ooifhsZP17jho7n66","2022-11-16 22:00:25","2022-11-16 22:01:45","2022-11-16 22:01:45","","7","4","2","2","","1","1","23","4","2018","0","1","2","Chile","Chileno","La Granja","2","2",""
"cVkxDtEIJ9PrDjqQxxS65b3kpkY2vMS1XeGHYViJr6i8Jxf1k4NIMEP0Q9q55xwX","2022-11-17 05:11:59","2022-11-17 05:15:08","2022-11-17 05:15:08","","5","5","1","2","","1","1","21","4","2020","0","5","1","Chile","Chilena","","2","2",""
"4MfnfVgl__IT4TFIa0G1eI90uCj6dr9lpbQKz3b7NHg0r6VnJETqqNxurr-UYsFO","2022-11-18 02:39:45","2022-11-18 02:41:19","2022-11-18 02:41:19","","5","1","","2","","2","1","23","4","2020","0","4","1","Chile","Chilena","Ñuñoa","2","4",""
"48NFw3VNkbh2eF8C6jxwXRrlAcFdYfnZlVX44n2kP2sO44Xwc8tE2odT5zqXx552","2022-11-18 14:59:34","2022-11-18 15:01:06","2022-11-18 15:01:07","","6","5","2","2","","1","1","22","4","2020","0","1","4","Chile","Chile-Argentina","Macul","5","4",""
"zZZDKaCfquzi3rUY5wSpHWX3ZUJJxSyXLCXeM9R5lS3O7GafvFz4c5POnruuPlUx","2022-11-18 16:41:24","2022-11-18 16:42:53","2022-11-18 16:42:53","","7","5","1","2","","1","1","21","1","2019","2","1","3","Chile","Chilena","Las Condes","3","3",""
"fUduv1WDyJXykmz5mvwxG3kYv0CNFovo2dJytIOY-vO4Kv6oBt0etonAJDKCwMt6","2022-11-18 18:27:14","2022-11-18 18:29:41","2022-11-18 18:29:41","","8","4","2","2","","1","1","23","2","2019","0","4","1","chile","chilena","la florida","3","4",""
"QcQXlOMRiiKF11FsSL53RWYgmB8o9zNk88RrFQlW_KRtvTPVPbjE5CT5cd4TWyKo","2022-11-19 02:28:55","2022-11-19 02:30:40","2022-11-19 02:30:40","","5","2","2","2","","1","1","21","4","2020","2","1","4","Chile ","Chilena ","Ñuñoa","4","3",""
"SgS_LWOQnJ7giEuQaI-mCj7pAcgBjmcibLatbYaXGHpeQ_DuWrzCaAwuagNYBqi3","2022-11-19 07:41:37","2022-11-19 07:42:56","2022-11-19 07:42:56","","9","4","1","2","","1","1","22","4","2019","0","1","3","Chile","Chilena","Puente Alto","3","3",""
"","2022-11-21 22:17:09","","","","","","","","","","","","","","","","","","","","","",""
