"session","created","modified","ended","expired","pregunta1","cuidado_tiempo","cuidado_1","cuidado_2","cuidado_3","cuidado_4","cuidado_5","cuidado_6","cuidado_7","cuidado_8","cuidado_9","cuidado_10","cuidado_11","cuidado_12","cuidado_multiple"
"ghWHaw2h3Z6TiB0ZbDfZv3edNtwfQs7y9ckQuunr4cUIU6WvEC7WnlMpPqDdCCCW","2022-11-10 15:45:48","2022-11-10 15:46:07","2022-11-10 15:46:07","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"f5mmdawNANM70A8QX0vKNtL0PeMDRpVGMIs6pcqPm_U_YEN5qEnbYsTgHSkhzkiR","2022-11-10 15:59:31","2022-11-10 16:01:00","2022-11-10 16:01:00","","","","1","1","1","3","4","3","3","3","4","3","4","2",""
"cHN7U98IXmr_Ij6qu3bD_KKgqhAgMdOsl93a-9jO91TpRHfmIgz22sB8TRcWHBeA","2022-11-10 16:03:10","2022-11-10 16:04:37","2022-11-10 16:04:37","","","","1","1","1","1","1","4","3","2","2","2","3","1",""
"0l53GkrfQLMEsnlTBWdk4DF_9c-gbhkKSQeB6gfTn3HVa0BBSrgZHIrBYT6UYhPq","2022-11-10 16:07:28","2022-11-10 16:08:17","2022-11-10 16:08:17","","","","1","1","1","1","1","3","1","1","1","5","1","1",""
"EmCfo8pV0hOt3rpBELTGc2vofN9Bwbg2WAhLDV6gZFoliVMqrS_ajpntKegYPZWL","2022-11-10 16:21:35","2022-11-10 16:22:25","2022-11-10 16:22:25","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"BwNAWC-j99fr-bm02aRJ4Brjr5bHOGZ4c2hEL0hCTp2O9Hqb2wFE5X7FhfzHUw2o","2022-11-10 16:22:31","2022-11-10 16:23:32","2022-11-10 16:23:32","","","","2","1","1","1","2","4","1","2","3","3","3","2",""
"NJF1ALsxO3uPlmvwo5VvofOrnrpV3UmSNDBV39H60QiYv1DlnfFU-Ix-2l0jXX31","2022-11-10 16:45:59","2022-11-10 16:46:28","2022-11-10 16:46:28","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"","2022-11-10 18:44:19","","","","","","","","","","","","","","","","","",""
"qIuYP0ELIC1RS5Q8qBWf5TTlzXw2tNDMKh2VACfnuWgP5iByqqU4ZTMDLEv-S0Fh","2022-11-10 19:28:31","2022-11-10 19:39:17","2022-11-10 19:39:17","","","","4","1","1","1","1","4","4","3","1","1","1","1",""
"thankfulGooseXXX2AFA8Nt6Ip20iwPBLQyx9Ujpn4Pq7g7QieJxt-5R_7xnNYQ7","2022-11-10 19:33:06","","2022-11-10 19:37:34","","","","","","","","","","","","","","","",""
"qGmMZ9CbsedBYgPuaIdwPmzLKql04A7gpnwY9bOBnOCGY2kTKiCBQ7ojsJNpQbnr","2022-11-10 19:34:05","2022-11-10 19:34:28","2022-11-10 19:34:28","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
